Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
29-07-2015,INFY,EQ,1062.85,1074,1092,1065,1086,1085.4,1082.68,3535667,3.82801E+14,82510,2422852,0.6853
30-07-2015,INFY,EQ,1085.4,1090,1090,1058,1073.85,1070,1077.44,5978299,6.44124E+14,122143,4349077,0.7275
31-07-2015,INFY,EQ,1070,1078.55,1081.35,1060,1078.5,1077.05,1071.55,3965506,4.24923E+14,108976,2869410,0.7236
03-08-2015,INFY,EQ,1077.05,1078,1092,1068.95,1075,1078.95,1078.29,3980506,4.29214E+14,85130,3021847,0.7592
04-08-2015,INFY,EQ,1078.95,1078,1078.95,1051,1058.55,1057.25,1061.33,4549527,4.82855E+14,139666,3264905,0.7176
05-08-2015,INFY,EQ,1057.25,1062,1090,1061.95,1086.65,1086.35,1080.81,2376738,2.56881E+14,70472,1514838,0.6374
06-08-2015,INFY,EQ,1086.35,1094,1105.5,1077,1088,1086.95,1089.08,3619126,3.94151E+14,94093,2240358,0.619
07-08-2015,INFY,EQ,1086.95,1079.5,1101,1078.5,1096.5,1095.6,1095.84,2494029,2.73306E+14,99571,1729315,0.6934
10-08-2015,INFY,EQ,1095.6,1098,1106.35,1067,1091,1086,1094.07,1996377,2.18417E+14,55130,1297347,0.6499
11-08-2015,INFY,EQ,1086,1098.8,1116.9,1095.7,1115,1109.15,1105.55,3787203,4.18695E+14,122276,2697765,0.7123
12-08-2015,INFY,EQ,1109.15,1115,1149,1111,1141,1144.4,1137.15,5084220,5.78151E+14,186856,3807473,0.7489
13-08-2015,INFY,EQ,1144.4,1147,1166.85,1055.55,1155.35,1158,1155.49,4893980,5.65493E+14,128074,3469113,0.7089
14-08-2015,INFY,EQ,1158,1165,1168.7,1143.1,1148.45,1149.25,1157.9,2554533,2.95789E+14,87830,1592415,0.6234
17-08-2015,INFY,EQ,1149.25,1150,1153.45,1122.5,1141.1,1142.15,1136.37,1553718,1.76559E+14,50967,678282,0.4366
18-08-2015,INFY,EQ,1142.15,1150,1177.7,1150,1162.5,1164.35,1167.25,2075223,2.4223E+14,103875,918470,0.4426
19-08-2015,INFY,EQ,1164.35,1170,1186.2,1162.8,1174.95,1175.55,1176.36,3434759,4.04051E+14,92901,2353219,0.6851
20-08-2015,INFY,EQ,1175.55,1159,1168.5,1128,1140.9,1134.55,1140.09,4184557,4.77076E+14,100655,2703228,0.646
21-08-2015,INFY,EQ,1134.55,1140.9,1160.95,1117.5,1143.9,1149.9,1145.35,5411071,6.19756E+14,118867,3331403,0.6157
24-08-2015,INFY,EQ,1149.9,1109.95,1123,1078.6,1088.8,1092.05,1107.29,7061342,7.81895E+14,161508,4761350,0.6743
25-08-2015,INFY,EQ,1092.05,1100,1119,1044.5,1088,1085.65,1085.15,6867539,7.45231E+14,153510,4834585,0.704
26-08-2015,INFY,EQ,1085.65,1089.8,1097,1059,1066.25,1064.6,1077.22,5749106,6.19303E+14,116990,4076370,0.709
27-08-2015,INFY,EQ,1064.6,1088,1100.1,1078.05,1084,1082.8,1085.94,7671696,8.33097E+14,139887,5605100,0.7306
28-08-2015,INFY,EQ,1082.8,1101.6,1124.9,1101.6,1114.4,1111.05,1114.78,3604410,4.01812E+14,92660,2090906,0.5801
31-08-2015,INFY,EQ,1111.05,1134.85,1134.85,1082.5,1097.3,1094.4,1098.12,4958532,5.44505E+14,112811,3332453,0.6721
01-09-2015,INFY,EQ,1094.4,1090,1114.6,1082,1086.95,1089,1099.86,4535775,4.98871E+14,144963,3052400,0.673
02-09-2015,INFY,EQ,1089,1098,1115,1090,1102,1099.45,1102.46,5585915,6.15827E+14,127845,3245263,0.581
03-09-2015,INFY,EQ,1099.45,1110.15,1112,1092.5,1100.3,1099.35,1100.92,4295268,4.72876E+14,77626,3197225,0.7444
04-09-2015,INFY,EQ,1099.35,1103,1111,1067,1074.9,1073.95,1079.25,3659444,3.94946E+14,100163,2171981,0.5935
07-09-2015,INFY,EQ,1073.95,1084.95,1085,1055,1058.2,1058.75,1065.12,2590494,2.75919E+14,81606,1495175,0.5772
08-09-2015,INFY,EQ,1058.75,1062,1074,1052.3,1062.6,1058.8,1063.17,2729748,2.90218E+14,78414,1742021,0.6382
09-09-2015,INFY,EQ,1058.8,1087.1,1099.6,1072,1087.5,1088.7,1088.69,4574332,4.98004E+14,116781,2880608,0.6297
10-09-2015,INFY,EQ,1088.7,1084.9,1091.5,1061,1080,1080.45,1079.95,4181502,4.51582E+14,113306,2688024,0.6428
11-09-2015,INFY,EQ,1080.45,1091.55,1106.4,1085.5,1091.9,1090.75,1095.18,4941905,5.41227E+14,106420,3503104,0.7089
